add-none,1,3710,7420,410863,55,0
add-none,1,3810,7620,341642,44,0
add-none,1,3910,7820,442815,56,0
add-none,1,4010,8020,363331,45,0
add-none,1,4110,8220,387432,47,0
add-none,1,4210,8420,352418,41,0
add-none,1,4310,8620,403970,46,0
add-none,1,4410,8820,395561,44,0
add-none,1,4510,9020,370422,41,0
add-none,1,4610,9220,352548,38,0
add-none,1,4710,9420,361525,38,0
add-none,1,4810,9620,449556,46,0
add-none,1,4910,9820,406608,41,0
add-none,1,5010,10020,401369,40,0
add-none,1,5110,10220,356577,34,0
add-none,1,5210,10420,405608,38,0
add-none,1,5310,10620,407603,38,0
add-none,1,5410,10820,386268,35,0
add-none,1,5510,11020,458197,41,0
add-none,1,5610,11220,398549,35,0
add-none,1,5710,11420,368853,32,0
add-none,1,5810,11620,451051,38,0
add-none,1,5910,11820,425928,36,0
add-none,1,6010,12020,379823,31,0
add-none,1,6110,12220,413029,33,0
add-none,1,6210,12420,412820,33,0
add-none,1,6310,12620,490501,38,0
add-none,1,6410,12820,436935,34,0
add-none,1,6510,13020,433522,33,0
add-none,1,6610,13220,379247,28,0
add-none,1,6710,13420,414603,30,0
add-none,1,6810,13620,463114,34,0
add-none,1,6910,13820,382353,27,0
add-none,1,7010,14020,443795,31,0
add-none,1,7110,14220,399879,28,0
add-none,1,7210,14420,414039,28,0
add-none,1,7310,14620,421970,28,0
add-none,1,7410,14820,425939,28,0
add-none,1,7510,15020,384932,25,0
add-none,1,7610,15220,432594,28,0
add-none,1,7710,15420,406717,26,0
add-none,1,7810,15620,424605,27,0
add-none,1,7910,15820,442365,27,0
add-none,1,8010,16020,451066,28,0
add-none,1,8110,16220,400634,24,0
add-none,1,8210,16420,413646,25,0
add-none,1,8310,16620,447715,26,0
add-none,1,8410,16820,419803,24,0
add-none,1,8510,17020,523286,30,0
add-none,1,8610,17220,440457,25,0
add-none,1,8710,17420,424043,24,0
add-none,1,8810,17620,434753,24,0
add-none,1,8910,17820,417077,23,0
add-none,1,9010,18020,446946,24,0
add-none,1,9110,18220,455048,24,0
add-none,1,9210,18420,447630,24,0
add-none,1,9310,18620,422117,22,0
add-none,1,9410,18820,446576,23,0
add-none,1,9510,19020,521410,27,0
add-none,1,9610,19220,477090,24,0
add-none,1,9710,19420,436043,22,0
add-none,1,9810,19620,441147,22,0
add-none,1,9910,19820,519894,26,0
add-none,1,10010,20020,441550,22,0
add-none,1,10110,20220,444844,22,0
add-none,1,10210,20420,440237,21,0
add-none,1,10310,20620,436959,21,0
add-none,1,10410,20820,449748,21,0
add-none,1,10510,21020,456962,21,0
add-none,1,10610,21220,443830,20,0
add-none,1,10710,21420,450890,21,0
add-none,1,10810,21620,453720,20,0
add-none,1,10910,21820,479695,21,0
add-none,1,11010,22020,505695,22,0
add-none,1,11110,22220,438522,19,0
add-none,1,11210,22420,452711,20,0
add-none,1,11310,22620,458581,20,0
add-none,1,11410,22820,458799,20,0
add-none,1,11510,23020,452495,19,0
add-none,1,11610,23220,450692,19,0
add-none,1,11710,23420,459082,19,0
add-none,1,11810,23620,438211,18,0
add-none,1,11910,23820,451047,18,0
add-none,1,12010,24020,492800,20,0
add-none,1,12110,24220,468740,19,0
add-none,1,12210,24420,496997,20,0
add-none,1,12310,24620,466477,18,0
add-none,1,12410,24820,485191,19,0
add-none,1,12510,25020,466604,18,0
add-none,1,12610,25220,454529,18,0
add-none,1,12710,25420,448686,17,0
add-none,1,12810,25620,451257,17,0
add-none,1,12910,25820,473421,18,0
add-none,1,13010,26020,499577,19,0
add-none,1,13110,26220,482120,18,0
add-none,1,13210,26420,511123,19,0
add-none,1,13310,26620,491241,18,0
add-none,1,13410,26820,490290,18,0
add-none,1,13510,27020,502999,18,0
add-none,1,13610,27220,528226,19,0
add-none,1,13710,27420,489813,17,0
add-none,1,13810,27620,490131,17,0
add-none,1,13910,27820,542845,19,0
add-none,1,14010,28020,490703,17,0
add-none,1,14110,28220,463070,16,0
add-none,1,14210,28420,505176,17,0
add-none,1,14310,28620,501171,17,0
add-none,1,14410,28820,495875,17,0
add-none,1,14510,29020,477145,16,0
add-none,1,14610,29220,471281,16,0
add-none,1,14710,29420,532671,18,0
add-none,1,14810,29620,502651,16,0
add-none,1,14910,29820,502637,16,0
add-none,1,15010,30020,524638,17,0
add-none,1,15110,30220,479000,15,0
add-none,1,15210,30420,477687,15,0
add-none,1,15310,30620,503889,16,0
add-none,1,15410,30820,501430,16,0
add-none,1,15510,31020,511734,16,0
add-none,1,15610,31220,509980,16,0
add-none,1,15710,31420,560584,17,0
add-none,1,15810,31620,508387,16,0
add-none,1,15910,31820,541865,17,0
add-none,1,16010,32020,491979,15,0
add-none,1,16110,32220,528710,16,0
add-none,1,16210,32420,557921,17,0
add-none,1,16310,32620,576778,17,0
add-none,1,16410,32820,524585,15,0
add-none,1,16510,33020,540414,16,0
add-none,1,16610,33220,507030,15,0
add-none,1,16710,33420,531519,15,0
add-none,1,16810,33620,520739,15,0
add-none,1,16910,33820,532497,15,0
add-none,1,17010,34020,503680,14,0
add-none,1,17110,34220,526610,15,0
add-none,1,17210,34420,541897,15,0
add-none,1,17310,34620,523624,15,0
add-none,1,17410,34820,530048,15,0
add-none,1,17510,35020,534458,15,0
add-none,1,17610,35220,538204,15,0
add-none,1,17710,35420,534009,15,0
add-none,1,17810,35620,533417,14,0
add-none,1,17910,35820,558645,15,0
add-none,1,18010,36020,546326,15,0
add-none,1,18110,36220,570429,15,0
add-none,1,18210,36420,519866,14,0
add-none,1,18310,36620,539484,14,0
add-none,1,18410,36820,576503,15,0
add-none,1,18510,37020,549737,14,0
add-none,1,18610,37220,543118,14,0
add-none,1,18710,37420,557127,14,0
add-none,1,18810,37620,601257,15,0
add-none,1,18910,37820,559286,14,0
add-none,1,19010,38020,559571,14,0
add-none,1,19110,38220,535008,13,0
add-none,1,19210,38420,559678,14,0
add-none,1,19310,38620,666205,17,0
add-none,1,19410,38820,557803,14,0
add-none,1,19510,39020,575332,14,0
add-none,1,19610,39220,608898,15,0
add-none,1,19710,39420,574526,14,0
add-none,1,19810,39620,582419,14,0
add-none,1,19910,39820,544654,13,0
add-none,1,20010,40020,562771,14,0
add-none,1,20110,40220,597231,14,0
add-none,1,20210,40420,594666,14,0
add-none,1,20310,40620,586728,14,0
add-none,1,20410,40820,574915,14,0
add-none,1,20510,41020,571127,13,0
add-none,1,20610,41220,576617,13,0
add-none,1,20710,41420,562323,13,0
add-none,1,20810,41620,591073,14,0
add-none,1,20910,41820,577689,13,0
add-none,1,21010,42020,558234,13,0
add-none,1,21110,42220,604360,14,0
add-none,1,21210,42420,598001,14,0
add-none,1,21310,42620,582314,13,0
add-none,1,21410,42820,622731,14,0
add-none,1,21510,43020,569108,13,0
add-none,1,21610,43220,646821,14,0
add-none,1,21710,43420,602849,13,0
add-none,1,21810,43620,605935,13,0
add-none,1,21910,43820,642094,14,0
add-none,1,22010,44020,589764,13,0
add-none,1,22110,44220,599495,13,0
add-none,1,22210,44420,606500,13,0
add-none,1,22310,44620,666675,14,0
add-none,1,22410,44820,596182,13,0
add-none,1,22510,45020,608713,13,0
add-none,1,22610,45220,553941,12,0
add-none,1,22710,45420,682750,15,0
add-none,1,22810,45620,609292,13,0
add-none,1,22910,45820,649458,14,0
add-none,1,23010,46020,580591,12,0
add-none,1,23110,46220,669300,14,0
add-none,1,23210,46420,594512,12,0
add-none,1,23310,46620,626982,13,0
add-none,1,23410,46820,651771,13,0
add-none,1,23510,47020,701858,14,0
add-none,1,23610,47220,680166,14,0
add-none,1,23710,47420,709860,14,0
add-none,1,23810,47620,664580,13,0
add-none,1,23910,47820,642179,13,0
add-none,1,24010,48020,727285,15,0
add-none,1,24110,48220,632578,13,0
add-none,1,24210,48420,716946,14,0
add-none,1,24310,48620,667829,13,0
add-none,1,24410,48820,701756,14,0
add-none,1,24510,49020,684902,13,0
add-none,1,24610,49220,748977,15,0
add-none,1,24710,49420,676835,13,0
add-none,1,24810,49620,634417,12,0
add-none,1,24910,49820,652205,13,0
add-none,1,25010,50020,634130,12,0
add-none,1,25110,50220,627604,12,0
add-none,1,25210,50420,640514,12,0
add-none,1,25310,50620,663846,13,0
add-none,1,25410,50820,667645,13,0
add-none,1,25510,51020,667956,13,0
add-none,1,25610,51220,636454,12,0
add-none,1,25710,51420,638457,12,0
add-none,1,25810,51620,664195,12,0
add-none,1,25910,51820,619214,11,0
add-none,1,26010,52020,664274,12,0
add-none,1,26110,52220,702091,13,0
add-none,1,26210,52420,652537,12,0
add-none,1,26310,52620,701850,13,0
add-none,1,26410,52820,616634,11,0
add-none,1,26510,53020,701906,13,0
add-none,1,26610,53220,646912,12,0
add-none,1,26710,53420,667025,12,0
add-none,1,26810,53620,694036,12,0
add-none,1,26910,53820,640360,11,0
add-none,1,27010,54020,706823,13,0
add-none,1,27110,54220,689023,12,0
add-none,1,27210,54420,682426,12,0
add-none,1,27310,54620,696709,12,0
add-none,1,27410,54820,777022,14,0
add-none,1,27510,55020,662108,12,0
add-none,1,27610,55220,690349,12,0
add-none,1,27710,55420,642336,11,0
add-none,1,27810,55620,677963,12,0
add-none,1,27910,55820,697508,12,0
add-none,1,28010,56020,669141,11,0
add-none,1,28110,56220,649411,11,0
add-none,1,28210,56420,623509,11,0
add-none,1,28310,56620,688911,12,0
add-none,1,28410,56820,723194,12,0
add-none,1,28510,57020,728325,12,0
add-none,1,28610,57220,726561,12,0
add-none,1,28710,57420,686497,11,0
add-none,1,28810,57620,710443,12,0
add-none,1,28910,57820,662563,11,0
add-none,1,29010,58020,716798,12,0
add-none,1,29110,58220,690356,11,0
add-none,1,29210,58420,699130,11,0
add-none,1,29310,58620,750151,12,0
add-none,1,29410,58820,760446,12,0
add-none,1,29510,59020,696719,11,0
add-none,1,29610,59220,754783,12,0
add-none,1,29710,59420,774709,13,0
add-none,1,29810,59620,827528,13,0
add-none,1,29910,59820,766784,12,0
add-none,1,30010,60020,701251,11,0
add-none,1,30110,60220,717675,11,0
add-none,1,30210,60420,708829,11,0
add-none,1,30310,60620,815301,13,0
add-none,1,30410,60820,741424,12,0
add-none,1,30510,61020,879678,14,0
add-none,1,30610,61220,739391,12,0
add-none,1,30710,61420,747984,12,0
add-none,1,30810,61620,755019,12,0
add-none,1,30910,61820,870976,14,0
add-none,1,31010,62020,757672,12,0
add-none,1,31110,62220,874652,14,0
add-none,1,31210,62420,729921,11,0
add-none,1,31310,62620,826105,13,0
add-none,1,31410,62820,775507,12,0
add-none,1,31510,63020,785734,12,0
add-none,1,31610,63220,709824,11,0
add-none,1,31710,63420,829020,13,0
add-none,1,31810,63620,866713,13,0
add-none,1,31910,63820,819480,12,0
add-none,1,32010,64020,781722,12,0
add-none,1,32110,64220,737841,11,0
add-none,1,32210,64420,776874,12,0
add-none,1,32310,64620,750016,11,0
add-none,1,32410,64820,757420,11,0
add-none,1,32510,65020,736839,11,0
add-none,1,32610,65220,743436,11,0
add-none,1,32710,65420,727126,11,0
add-none,1,32810,65620,765083,11,0
add-none,1,32910,65820,776654,11,0
add-none,1,33010,66020,748963,11,0
add-none,1,33110,66220,762607,11,0
add-none,1,33210,66420,871733,13,0
add-none,1,33310,66620,776884,11,0
add-none,1,33410,66820,765888,11,0
add-none,1,33510,67020,768617,11,0
add-none,1,33610,67220,766430,11,0
add-none,1,33710,67420,770414,11,0
add-none,1,33810,67620,781918,11,0
add-none,1,33910,67820,743761,10,0
add-none,1,34010,68020,758195,11,0
add-none,1,34110,68220,804587,11,0
add-none,1,34210,68420,808985,11,0
add-none,1,34310,68620,779110,11,0
add-none,1,34410,68820,735682,10,0
add-none,1,34510,69020,767429,11,0
add-none,1,34610,69220,754992,10,0
add-none,1,34710,69420,818992,11,0
add-none,1,34810,69620,766989,11,0
add-none,1,34910,69820,832972,11,0
add-none,1,35010,70020,775507,11,0
add-none,1,35110,70220,775441,11,0
add-none,1,35210,70420,888533,12,0
add-none,1,35310,70620,776504,10,0
add-none,1,35410,70820,746019,10,0
add-none,1,35510,71020,791138,11,0
add-none,1,35610,71220,801922,11,0
add-none,1,35710,71420,800140,11,0
add-none,1,35810,71620,760035,10,0
add-none,1,35910,71820,786884,10,0
add-none,1,36010,72020,802215,11,0
add-none,1,36110,72220,870919,12,0
add-none,1,36210,72420,863877,11,0
add-none,1,36310,72620,752827,10,0
add-none,1,36410,72820,780952,10,0
add-none,1,36510,73020,868083,11,0
add-none,1,36610,73220,792875,10,0
add-none,1,36710,73420,836192,11,0
add-none,1,36810,73620,859469,11,0
add-none,1,36910,73820,801215,10,0
add-none,1,37010,74020,847354,11,0
add-none,1,37110,74220,853112,11,0
add-none,1,37210,74420,853091,11,0
add-none,1,37310,74620,905595,12,0
add-none,1,37410,74820,800241,10,0
add-none,1,37510,75020,815068,10,0
add-none,1,37610,75220,800582,10,0
add-none,1,37710,75420,893715,11,0
add-none,1,37810,75620,806936,10,0
add-none,1,37910,75820,828134,10,0
add-none,1,38010,76020,802160,10,0
add-none,1,38110,76220,889813,11,0
add-none,1,38210,76420,839212,10,0
add-none,1,38310,76620,815139,10,0
add-none,1,38410,76820,814242,10,0
add-none,1,38510,77020,809351,10,0
add-none,1,38610,77220,809578,10,0
add-none,1,38710,77420,842833,10,0
add-none,1,38810,77620,807735,10,0
add-none,1,38910,77820,827853,10,0
add-none,1,39010,78020,817544,10,0
add-none,1,39110,78220,795169,10,0
add-none,1,39210,78420,827069,10,0
add-none,1,39310,78620,795337,10,0
add-none,1,39410,78820,850613,10,0
